company;contract;month;year;lines
SurTel;Control;1;2013;21165
SurTel;Prepaid;1;2013;26108
SurTel;Control;1;2013;26507
SurTel;Prepaid;1;2013;33080
SurTel;Postpaid;1;2013;33820
SurTel;Postpaid;1;2013;42169
SurTel;Control;1;2013;44765
SurTel;Prepaid;1;2013;47989
SurTel;Prepaid;1;2013;260008
SurTel;Control;1;2013;275875
SurTel;Control;1;2013;308391
SurTel;Prepaid;1;2013;428399
PeruTel;Control;1;2013;1783
PeruTel;Postpaid;1;2013;3358
PeruTel;Control;1;2013;4991
PeruTel;Control;1;2013;7282
PeruTel;Postpaid;1;2013;7635
PeruTel;Control;1;2013;11686
PeruTel;Postpaid;1;2013;12217
PeruTel;Postpaid;1;2013;12304
PeruTel;Control;1;2013;13939
PeruTel;Prepaid;1;2013;15107
PeruTel;Control;1;2013;16142
PeruTel;Postpaid;1;2013;17378
PeruTel;Control;1;2013;20801
PeruTel;Control;1;2013;20897
PeruTel;Postpaid;1;2013;21188
PeruTel;Control;1;2013;21321
PeruTel;Postpaid;1;2013;23477
PeruTel;Control;1;2013;26264
PeruTel;Control;1;2013;26789
PeruTel;Control;1;2013;28981
PeruTel;Postpaid;1;2013;30074
PeruTel;Control;1;2013;32372
PeruTel;Postpaid;1;2013;33005
PeruTel;Control;1;2013;34466
PeruTel;Control;1;2013;34825
PeruTel;Control;1;2013;34996
PeruTel;Postpaid;1;2013;35622
PeruTel;Postpaid;1;2013;35751
PeruTel;Postpaid;1;2013;36610
PeruTel;Postpaid;1;2013;36771
PeruTel;Postpaid;1;2013;37710
PeruTel;Postpaid;1;2013;39318
PeruTel;Postpaid;1;2013;42297
PeruTel;Prepaid;1;2013;53437
PeruTel;Control;1;2013;55695
PeruTel;Postpaid;1;2013;55970
PeruTel;Control;1;2013;56265
PeruTel;Control;1;2013;57082
PeruTel;Control;1;2013;60584
PeruTel;Postpaid;1;2013;61050
PeruTel;Postpaid;1;2013;70472
PeruTel;Prepaid;1;2013;75729
PeruTel;Postpaid;1;2013;76101
PeruTel;Control;1;2013;85803
PeruTel;Prepaid;1;2013;85899
PeruTel;Prepaid;1;2013;89149
PeruTel;Prepaid;1;2013;90849
PeruTel;Control;1;2013;91514
PeruTel;Postpaid;1;2013;93245
PeruTel;Postpaid;1;2013;99733
PeruTel;Postpaid;1;2013;100242
PeruTel;Control;1;2013;100745
PeruTel;Prepaid;1;2013;101149
PeruTel;Control;1;2013;102103
PeruTel;Control;1;2013;103740
PeruTel;Postpaid;1;2013;117578
PeruTel;Postpaid;1;2013;120162
PeruTel;Prepaid;1;2013;130950
PeruTel;Prepaid;1;2013;151713
PeruTel;Prepaid;1;2013;165482
PeruTel;Prepaid;1;2013;166577
PeruTel;Prepaid;1;2013;168003
PeruTel;Prepaid;1;2013;202289
PeruTel;Prepaid;1;2013;216304
PeruTel;Prepaid;1;2013;240762
PeruTel;Prepaid;1;2013;345297
PeruTel;Prepaid;1;2013;406697
PeruTel;Prepaid;1;2013;410625
PeruTel;Prepaid;1;2013;461432
PeruTel;Prepaid;1;2013;461797
PeruTel;Prepaid;1;2013;485384
PeruTel;Prepaid;1;2013;487264
PeruTel;Control;1;2013;531754
PeruTel;Prepaid;1;2013;574470
PeruTel;Prepaid;1;2013;613576
PeruTel;Postpaid;1;2013;688118
PeruTel;Prepaid;1;2013;2620327
PeruTel;Prepaid;1;2013;3065925
ComTel;Control;2;2013;6
ComTel;Control;2;2013;8
ComTel;Control;2;2013;9
ComTel;Control;2;2013;9
ComTel;Control;2;2013;10
ComTel;Control;2;2013;10
ComTel;Control;2;2013;19
ComTel;Control;2;2013;23
ComTel;Control;2;2013;25
ComTel;Control;2;2013;37
ComTel;Control;2;2013;55
ComTel;Control;2;2013;55
ComTel;Control;2;2013;57
ComTel;Control;2;2013;69
ComTel;Control;2;2013;73
ComTel;Control;2;2013;77
ComTel;Control;2;2013;90
ComTel;Control;2;2013;142
ComTel;Control;2;2013;172
ComTel;Control;2;2013;196
ComTel;Control;2;2013;247
ComTel;Control;2;2013;393
ComTel;Control;2;2013;534
ComTel;Control;2;2013;889
ComTel;Control;2;2013;1325
ComTel;Postpaid;2;2013;5647
ComTel;Control;2;2013;6155
ComTel;Postpaid;2;2013;8320
ComTel;Postpaid;2;2013;8858
ComTel;Postpaid;2;2013;9031
ComTel;Postpaid;2;2013;10154
ComTel;Postpaid;2;2013;15565
ComTel;Prepaid;2;2013;16067
ComTel;Postpaid;2;2013;16890
ComTel;Postpaid;2;2013;17110
ComTel;Postpaid;2;2013;17470
ComTel;Postpaid;2;2013;17986
ComTel;Postpaid;2;2013;21754
ComTel;Postpaid;2;2013;22169
ComTel;Postpaid;2;2013;24628
ComTel;Prepaid;2;2013;35865
ComTel;Postpaid;2;2013;37247
ComTel;Prepaid;2;2013;38398
ComTel;Prepaid;2;2013;42662
ComTel;Prepaid;2;2013;45041
ComTel;Postpaid;2;2013;45126
ComTel;Prepaid;2;2013;45470
ComTel;Postpaid;2;2013;50670
ComTel;Postpaid;2;2013;50709
ComTel;Postpaid;2;2013;53993
ComTel;Postpaid;2;2013;55192
ComTel;Postpaid;2;2013;55418
ComTel;Postpaid;2;2013;56277
ComTel;Prepaid;2;2013;70584
ComTel;Prepaid;2;2013;85719
ComTel;Postpaid;2;2013;99325
ComTel;Prepaid;2;2013;99660
ComTel;Prepaid;2;2013;117928
ComTel;Prepaid;2;2013;124364
ComTel;Prepaid;2;2013;130633
ComTel;Prepaid;2;2013;134621
ComTel;Postpaid;2;2013;135576
ComTel;Prepaid;2;2013;150369
ComTel;Prepaid;2;2013;155056
ComTel;Prepaid;2;2013;170242
ComTel;Prepaid;2;2013;173107
ComTel;Prepaid;2;2013;189163
ComTel;Postpaid;2;2013;191911
ComTel;Prepaid;2;2013;206383
ComTel;Postpaid;2;2013;254239
ComTel;Prepaid;2;2013;271969
ComTel;Prepaid;2;2013;346496
ComTel;Prepaid;2;2013;383516
ComTel;Prepaid;2;2013;448392
ComTel;Prepaid;2;2013;486913
ComTel;Postpaid;2;2013;1512230
ComTel;Prepaid;2;2013;2704495
ComTel;Prepaid;2;2013;3578570
SurTel;Postpaid;2;2013;53
SurTel;Postpaid;2;2013;53
SurTel;Postpaid;2;2013;113
SurTel;Postpaid;2;2013;146
SurTel;Postpaid;2;2013;198
SurTel;Postpaid;2;2013;265
SurTel;Postpaid;2;2013;279
SurTel;Prepaid;2;2013;332
SurTel;Prepaid;2;2013;408
SurTel;Prepaid;2;2013;574
SurTel;Postpaid;2;2013;710
SurTel;Prepaid;2;2013;738
SurTel;Prepaid;2;2013;1041
SurTel;Postpaid;2;2013;1053
SurTel;Control;2;2013;1125
SurTel;Control;2;2013;1373
SurTel;Postpaid;2;2013;1562
SurTel;Control;2;2013;1591
SurTel;Prepaid;2;2013;1730
SurTel;Postpaid;2;2013;2035
SurTel;Control;2;2013;2093
SurTel;Control;2;2013;2804
SurTel;Postpaid;2;2013;3550
SurTel;Prepaid;2;2013;4106
SurTel;Control;2;2013;4174
SurTel;Control;2;2013;4561
SurTel;Prepaid;2;2013;11968
SurTel;Control;2;2013;12210
SurTel;Prepaid;2;2013;12307
SurTel;Control;2;2013;14034
SurTel;Control;2;2013;14783
SurTel;Prepaid;2;2013;24380
SurTel;Control;2;2013;25025
SurTel;Prepaid;2;2013;31785
SurTel;Postpaid;2;2013;33298
SurTel;Postpaid;2;2013;39813
SurTel;Control;2;2013;41458
SurTel;Prepaid;2;2013;45660
SurTel;Prepaid;2;2013;244633
SurTel;Control;2;2013;287899
SurTel;Control;2;2013;310646
SurTel;Prepaid;2;2013;471557
PeruTel;Control;2;2013;1858
PeruTel;Postpaid;2;2013;3333
PeruTel;Control;2;2013;5045
PeruTel;Postpaid;2;2013;7553
PeruTel;Control;2;2013;7708
PeruTel;Postpaid;2;2013;11934
PeruTel;Control;2;2013;11995
PeruTel;Postpaid;2;2013;12500
PeruTel;Control;2;2013;14622
PeruTel;Prepaid;2;2013;14717
PeruTel;Control;2;2013;16574
PeruTel;Postpaid;2;2013;17230
PeruTel;Postpaid;2;2013;21238
PeruTel;Control;2;2013;21640
PeruTel;Control;2;2013;21723
PeruTel;Control;2;2013;22375
PeruTel;Postpaid;2;2013;23646
PeruTel;Control;2;2013;27698
PeruTel;Control;2;2013;27821
PeruTel;Postpaid;2;2013;30039
PeruTel;Control;2;2013;31236
PeruTel;Postpaid;2;2013;32862
PeruTel;Control;2;2013;33635
PeruTel;Control;2;2013;34790
PeruTel;Control;2;2013;35190
PeruTel;Postpaid;2;2013;35249
PeruTel;Postpaid;2;2013;35602
PeruTel;Postpaid;2;2013;36040
PeruTel;Control;2;2013;36629
PeruTel;Postpaid;2;2013;37161
PeruTel;Postpaid;2;2013;37489
PeruTel;Postpaid;2;2013;39027
PeruTel;Postpaid;2;2013;42225
PeruTel;Prepaid;2;2013;52384
PeruTel;Postpaid;2;2013;56112
PeruTel;Control;2;2013;57594
PeruTel;Control;2;2013;58386
PeruTel;Control;2;2013;59339
PeruTel;Postpaid;2;2013;60924
PeruTel;Control;2;2013;62648
PeruTel;Postpaid;2;2013;69589
PeruTel;Postpaid;2;2013;75215
PeruTel;Prepaid;2;2013;75641
PeruTel;Prepaid;2;2013;87465
PeruTel;Control;2;2013;88313
PeruTel;Prepaid;2;2013;88902
PeruTel;Prepaid;2;2013;89265
PeruTel;Postpaid;2;2013;92530
PeruTel;Control;2;2013;95346
PeruTel;Postpaid;2;2013;98235
PeruTel;Postpaid;2;2013;100076
PeruTel;Prepaid;2;2013;100731
PeruTel;Control;2;2013;105601
PeruTel;Control;2;2013;107237
PeruTel;Control;2;2013;112589
PeruTel;Postpaid;2;2013;117421
PeruTel;Postpaid;2;2013;120713
PeruTel;Prepaid;2;2013;130358
PeruTel;Prepaid;2;2013;150510
PeruTel;Prepaid;2;2013;165943
PeruTel;Prepaid;2;2013;166109
PeruTel;Prepaid;2;2013;168850
PeruTel;Prepaid;2;2013;201180
PeruTel;Prepaid;2;2013;217260
PeruTel;Prepaid;2;2013;241267
PeruTel;Prepaid;2;2013;342075
PeruTel;Prepaid;2;2013;403139
PeruTel;Prepaid;2;2013;410769
PeruTel;Prepaid;2;2013;459646
PeruTel;Prepaid;2;2013;461837
PeruTel;Prepaid;2;2013;480633
PeruTel;Prepaid;2;2013;484640
PeruTel;Control;2;2013;551261
PeruTel;Prepaid;2;2013;571208
PeruTel;Prepaid;2;2013;611617
PeruTel;Postpaid;2;2013;686623
PeruTel;Prepaid;2;2013;2628306
PeruTel;Prepaid;2;2013;3140135
ComTel;Control;3;2013;4
ComTel;Control;3;2013;5
ComTel;Control;3;2013;10
ComTel;Control;3;2013;12
ComTel;Control;3;2013;14
ComTel;Control;3;2013;16
ComTel;Control;3;2013;23
ComTel;Control;3;2013;24
ComTel;Control;3;2013;34
ComTel;Control;3;2013;37
ComTel;Control;3;2013;46
ComTel;Control;3;2013;56
ComTel;Control;3;2013;58
ComTel;Control;3;2013;61
ComTel;Control;3;2013;77
ComTel;Control;3;2013;87
ComTel;Control;3;2013;104
ComTel;Control;3;2013;151
ComTel;Control;3;2013;164
ComTel;Control;3;2013;169
ComTel;Control;3;2013;189
ComTel;Control;3;2013;408
ComTel;Control;3;2013;532
ComTel;Control;3;2013;889
ComTel;Control;3;2013;1202
ComTel;Postpaid;3;2013;5603
ComTel;Control;3;2013;6004
ComTel;Postpaid;3;2013;8692
ComTel;Postpaid;3;2013;8757
ComTel;Postpaid;3;2013;9184
ComTel;Postpaid;3;2013;10447
ComTel;Prepaid;3;2013;15427
ComTel;Postpaid;3;2013;16176
ComTel;Postpaid;3;2013;17146
ComTel;Postpaid;3;2013;17341
ComTel;Postpaid;3;2013;18688
ComTel;Postpaid;3;2013;20330
ComTel;Postpaid;3;2013;21574
ComTel;Postpaid;3;2013;23163
ComTel;Postpaid;3;2013;25917
ComTel;Postpaid;3;2013;33488
ComTel;Prepaid;3;2013;35460
ComTel;Prepaid;3;2013;40348
ComTel;Prepaid;3;2013;40765
ComTel;Postpaid;3;2013;40834
ComTel;Prepaid;3;2013;45573
ComTel;Prepaid;3;2013;45688
ComTel;Postpaid;3;2013;47266
ComTel;Postpaid;3;2013;52748
ComTel;Postpaid;3;2013;53377
ComTel;Postpaid;3;2013;55474
ComTel;Postpaid;3;2013;57352
ComTel;Postpaid;3;2013;62624
ComTel;Prepaid;3;2013;70773
ComTel;Prepaid;3;2013;86951
ComTel;Postpaid;3;2013;104489
ComTel;Prepaid;3;2013;108215
ComTel;Prepaid;3;2013;110922
ComTel;Prepaid;3;2013;118747
ComTel;Prepaid;3;2013;131860
ComTel;Prepaid;3;2013;132913
ComTel;Prepaid;3;2013;138698
ComTel;Postpaid;3;2013;143810
ComTel;Prepaid;3;2013;150608
ComTel;Prepaid;3;2013;161519
ComTel;Prepaid;3;2013;174359
ComTel;Prepaid;3;2013;189004
ComTel;Postpaid;3;2013;200244
ComTel;Prepaid;3;2013;215621
ComTel;Postpaid;3;2013;255059
ComTel;Prepaid;3;2013;286407
ComTel;Prepaid;3;2013;354478
ComTel;Prepaid;3;2013;387969
ComTel;Prepaid;3;2013;443639
ComTel;Prepaid;3;2013;504862
ComTel;Postpaid;3;2013;1557693
ComTel;Prepaid;3;2013;2649970
ComTel;Prepaid;3;2013;3618274
SurTel;Postpaid;3;2013;43
SurTel;Postpaid;3;2013;53
SurTel;Postpaid;3;2013;136
SurTel;Postpaid;3;2013;161
SurTel;Postpaid;3;2013;233
SurTel;Postpaid;3;2013;281
SurTel;Prepaid;3;2013;293
SurTel;Postpaid;3;2013;300
SurTel;Prepaid;3;2013;392
SurTel;Prepaid;3;2013;569
SurTel;Postpaid;3;2013;697
SurTel;Prepaid;3;2013;712
SurTel;Prepaid;3;2013;1003
SurTel;Control;3;2013;1046
SurTel;Postpaid;3;2013;1159
SurTel;Control;3;2013;1245
SurTel;Control;3;2013;1622
SurTel;Prepaid;3;2013;1674
SurTel;Postpaid;3;2013;1920
SurTel;Postpaid;3;2013;1997
SurTel;Control;3;2013;2029
SurTel;Control;3;2013;2624
SurTel;Postpaid;3;2013;3488
SurTel;Prepaid;3;2013;4066
SurTel;Control;3;2013;4426
SurTel;Control;3;2013;4626
SurTel;Prepaid;3;2013;11690
SurTel;Prepaid;3;2013;11792
SurTel;Control;3;2013;13079
SurTel;Control;3;2013;14317
SurTel;Control;3;2013;15946
SurTel;Prepaid;3;2013;24872
SurTel;Control;3;2013;25531
SurTel;Postpaid;3;2013;31663
SurTel;Prepaid;3;2013;32409
SurTel;Postpaid;3;2013;37425
SurTel;Control;3;2013;39924
SurTel;Prepaid;3;2013;45816
SurTel;Prepaid;3;2013;241167
SurTel;Control;3;2013;279179
SurTel;Control;3;2013;308193
SurTel;Prepaid;3;2013;496588
PeruTel;Control;3;2013;1890
PeruTel;Postpaid;3;2013;3150
PeruTel;Control;3;2013;5232
PeruTel;Postpaid;3;2013;6842
PeruTel;Control;3;2013;8446
PeruTel;Postpaid;3;2013;10925
PeruTel;Postpaid;3;2013;12374
PeruTel;Control;3;2013;12757
PeruTel;Prepaid;3;2013;14240
PeruTel;Control;3;2013;15987
PeruTel;Postpaid;3;2013;16931
PeruTel;Control;3;2013;17258
PeruTel;Postpaid;3;2013;20717
PeruTel;Postpaid;3;2013;22617
PeruTel;Control;3;2013;22719
PeruTel;Control;3;2013;23179
PeruTel;Control;3;2013;24823
PeruTel;Control;3;2013;30729
PeruTel;Postpaid;3;2013;31213
PeruTel;Postpaid;3;2013;32106
PeruTel;Control;3;2013;32954
PeruTel;Control;3;2013;33696
PeruTel;Control;3;2013;34775
PeruTel;Postpaid;3;2013;35080
PeruTel;Postpaid;3;2013;35126
PeruTel;Postpaid;3;2013;35674
PeruTel;Postpaid;3;2013;36526
PeruTel;Control;3;2013;37119
PeruTel;Postpaid;3;2013;38404
PeruTel;Control;3;2013;38857
PeruTel;Control;3;2013;39678
PeruTel;Postpaid;3;2013;42203
PeruTel;Postpaid;3;2013;46001
PeruTel;Prepaid;3;2013;56556
PeruTel;Postpaid;3;2013;58254
PeruTel;Postpaid;3;2013;60785
PeruTel;Control;3;2013;63310
PeruTel;Control;3;2013;65246
PeruTel;Control;3;2013;66447
PeruTel;Control;3;2013;67500
PeruTel;Postpaid;3;2013;73133
PeruTel;Prepaid;3;2013;75321
PeruTel;Postpaid;3;2013;76679
PeruTel;Prepaid;3;2013;87046
PeruTel;Prepaid;3;2013;90877
PeruTel;Control;3;2013;92041
PeruTel;Prepaid;3;2013;93579
PeruTel;Postpaid;3;2013;94775
PeruTel;Postpaid;3;2013;96867
PeruTel;Postpaid;3;2013;100920
PeruTel;Prepaid;3;2013;101915
PeruTel;Control;3;2013;102621
PeruTel;Postpaid;3;2013;111934
PeruTel;Control;3;2013;113503
PeruTel;Control;3;2013;114425
PeruTel;Control;3;2013;117177
PeruTel;Postpaid;3;2013;120318
PeruTel;Prepaid;3;2013;135097
PeruTel;Prepaid;3;2013;153010
PeruTel;Prepaid;3;2013;167692
PeruTel;Prepaid;3;2013;168810
PeruTel;Prepaid;3;2013;170495
PeruTel;Prepaid;3;2013;215117
PeruTel;Prepaid;3;2013;222237
PeruTel;Prepaid;3;2013;247299
PeruTel;Prepaid;3;2013;347638
PeruTel;Prepaid;3;2013;424175
PeruTel;Prepaid;3;2013;424304
PeruTel;Prepaid;3;2013;465622
PeruTel;Prepaid;3;2013;470564
PeruTel;Prepaid;3;2013;474685
PeruTel;Prepaid;3;2013;479122
PeruTel;Control;3;2013;554505
PeruTel;Prepaid;3;2013;570344
PeruTel;Prepaid;3;2013;610920
PeruTel;Postpaid;3;2013;653635
PeruTel;Prepaid;3;2013;2563703
PeruTel;Prepaid;3;2013;3077854
ComTel;Control;4;2013;8
ComTel;Control;4;2013;9
ComTel;Control;4;2013;9
ComTel;Control;4;2013;11
ComTel;Control;4;2013;13
ComTel;Control;4;2013;17
ComTel;Control;4;2013;25
ComTel;Control;4;2013;25
ComTel;Control;4;2013;26
ComTel;Control;4;2013;34
ComTel;Control;4;2013;55
ComTel;Control;4;2013;61
ComTel;Control;4;2013;65
ComTel;Control;4;2013;67
ComTel;Control;4;2013;79
ComTel;Control;4;2013;84
ComTel;Control;4;2013;89
ComTel;Control;4;2013;145
ComTel;Control;4;2013;148
ComTel;Control;4;2013;165
ComTel;Control;4;2013;188
ComTel;Control;4;2013;373
ComTel;Control;4;2013;476
ComTel;Control;4;2013;824
ComTel;Control;4;2013;966
ComTel;Postpaid;4;2013;5897
ComTel;Control;4;2013;6113
ComTel;Postpaid;4;2013;8749
ComTel;Postpaid;4;2013;9615
ComTel;Postpaid;4;2013;10457
ComTel;Postpaid;4;2013;10714
ComTel;Prepaid;4;2013;15282
ComTel;Postpaid;4;2013;16071
ComTel;Postpaid;4;2013;17470
ComTel;Postpaid;4;2013;18875
ComTel;Postpaid;4;2013;19447
ComTel;Postpaid;4;2013;19802
ComTel;Postpaid;4;2013;22260
ComTel;Postpaid;4;2013;25077
ComTel;Postpaid;4;2013;26624
ComTel;Postpaid;4;2013;31010
ComTel;Prepaid;4;2013;37668
ComTel;Postpaid;4;2013;38396
ComTel;Prepaid;4;2013;39715
ComTel;Prepaid;4;2013;41382
ComTel;Prepaid;4;2013;44623
ComTel;Prepaid;4;2013;44854
ComTel;Postpaid;4;2013;48787
ComTel;Postpaid;4;2013;50719
ComTel;Postpaid;4;2013;51600
ComTel;Postpaid;4;2013;56556
ComTel;Postpaid;4;2013;58130
ComTel;Postpaid;4;2013;60290
ComTel;Prepaid;4;2013;69183
ComTel;Prepaid;4;2013;84821
ComTel;Prepaid;4;2013;105482
ComTel;Postpaid;4;2013;108905
ComTel;Prepaid;4;2013;113292
ComTel;Prepaid;4;2013;117901
ComTel;Prepaid;4;2013;127176
ComTel;Prepaid;4;2013;135151
ComTel;Prepaid;4;2013;136800
ComTel;Prepaid;4;2013;142823
ComTel;Postpaid;4;2013;142869
ComTel;Prepaid;4;2013;158240
ComTel;Prepaid;4;2013;175609
ComTel;Prepaid;4;2013;184157
ComTel;Postpaid;4;2013;200667
ComTel;Prepaid;4;2013;214291
ComTel;Postpaid;4;2013;273250
ComTel;Prepaid;4;2013;280426
ComTel;Prepaid;4;2013;356507
ComTel;Prepaid;4;2013;382859
ComTel;Prepaid;4;2013;434022
ComTel;Prepaid;4;2013;504744
ComTel;Postpaid;4;2013;1610276
ComTel;Prepaid;4;2013;2710838
ComTel;Prepaid;4;2013;3564349
SurTel;Prepaid;4;2013;5
SurTel;Postpaid;4;2013;21
SurTel;Postpaid;4;2013;31
SurTel;Postpaid;4;2013;48
SurTel;Postpaid;4;2013;135
SurTel;Postpaid;4;2013;232
SurTel;Postpaid;4;2013;271
SurTel;Prepaid;4;2013;273
SurTel;Postpaid;4;2013;277
SurTel;Postpaid;4;2013;389
SurTel;Prepaid;4;2013;458
SurTel;Control;4;2013;535
SurTel;Prepaid;4;2013;727
SurTel;Prepaid;4;2013;803
SurTel;Postpaid;4;2013;868
SurTel;Control;4;2013;895
SurTel;Postpaid;4;2013;1086
SurTel;Control;4;2013;1091
SurTel;Prepaid;4;2013;1193
SurTel;Postpaid;4;2013;1672
SurTel;Control;4;2013;1808
SurTel;Prepaid;4;2013;1846
SurTel;Postpaid;4;2013;1847
SurTel;Control;4;2013;2037
SurTel;Control;4;2013;2829
SurTel;Postpaid;4;2013;3542
SurTel;Control;4;2013;4311
SurTel;Prepaid;4;2013;4547
SurTel;Control;4;2013;6162
SurTel;Control;4;2013;12465
SurTel;Prepaid;4;2013;12621
SurTel;Prepaid;4;2013;12734
SurTel;Control;4;2013;14482
SurTel;Control;4;2013;17826
SurTel;Control;4;2013;23243
SurTel;Prepaid;4;2013;25485
SurTel;Postpaid;4;2013;29468
SurTel;Prepaid;4;2013;32297
SurTel;Postpaid;4;2013;36743
SurTel;Control;4;2013;38679
SurTel;Prepaid;4;2013;46435
SurTel;Prepaid;4;2013;250670
SurTel;Control;4;2013;270715
SurTel;Control;4;2013;308362
SurTel;Prepaid;4;2013;472073
PeruTel;Control;4;2013;2150
PeruTel;Postpaid;4;2013;3290
PeruTel;Control;4;2013;6419
PeruTel;Postpaid;4;2013;8179
PeruTel;Control;4;2013;9412
PeruTel;Postpaid;4;2013;12404
PeruTel;Postpaid;4;2013;12594
PeruTel;Prepaid;4;2013;14651
PeruTel;Control;4;2013;14979
PeruTel;Control;4;2013;16813
PeruTel;Postpaid;4;2013;16961
PeruTel;Control;4;2013;18075
PeruTel;Postpaid;4;2013;20768
PeruTel;Postpaid;4;2013;22361
PeruTel;Control;4;2013;23393
PeruTel;Control;4;2013;24944
PeruTel;Control;4;2013;25898
PeruTel;Postpaid;4;2013;29624
PeruTel;Postpaid;4;2013;32355
PeruTel;Control;4;2013;33377
PeruTel;Control;4;2013;33525
PeruTel;Postpaid;4;2013;34948
PeruTel;Postpaid;4;2013;35540
PeruTel;Control;4;2013;35744
PeruTel;Postpaid;4;2013;35782
PeruTel;Control;4;2013;36317
PeruTel;Postpaid;4;2013;36739
PeruTel;Postpaid;4;2013;37825
PeruTel;Postpaid;4;2013;38750
PeruTel;Control;4;2013;38906
PeruTel;Control;4;2013;38984
PeruTel;Postpaid;4;2013;39362
PeruTel;Control;4;2013;41715
PeruTel;Postpaid;4;2013;54921
PeruTel;Postpaid;4;2013;59141
PeruTel;Prepaid;4;2013;60554
PeruTel;Control;4;2013;61853
PeruTel;Control;4;2013;66243
PeruTel;Control;4;2013;67878
PeruTel;Postpaid;4;2013;69049
PeruTel;Control;4;2013;70045
PeruTel;Postpaid;4;2013;74161
PeruTel;Prepaid;4;2013;75530
PeruTel;Prepaid;4;2013;87838
PeruTel;Postpaid;4;2013;91465
PeruTel;Postpaid;4;2013;94127
PeruTel;Postpaid;4;2013;94806
PeruTel;Prepaid;4;2013;95232
